"Transaction ID","hasException","exceptionTransferAmount"
"gs_1","No",NA
"gs_2","No",NA
"gs_3","No",NA
"gs_4","No",NA
"gs_5","No",NA
"gs_6","No",NA
"gs_7","No",NA
"gs_8","No",NA
"gs_9","No",NA
"gs_10","No",NA
"gs_11","No",NA
"gs_12","No",NA
"gs_13","No",NA
"gs_14","No",NA
"gs_15","No",NA
"gs_16","No",NA
"gs_17","No",NA
"gs_18","No",NA
"gs_19","No",NA
"gs_20","No",NA
"gs_21","No",NA
"gs_22","No",NA
"gs_23","No",NA
"gs_24","No",NA
"gs_25","No",NA
"gs_26","No",NA
"gs_27","No",NA
"gs_28","No",NA
"gs_29","No",NA
"gs_30","No",NA
"gs_31","No",NA
"gs_32","No",NA
"gs_33","No",NA
"gs_34","No",NA
"gs_35","No",NA
"gs_36","No",NA
"gs_37","No",NA
"gs_38","No",NA
"gs_39","No",NA
"gs_40","No",NA
"gs_41","No",NA
"gs_42","No",NA
"gs_43","No",NA
"gs_44","No",NA
"gs_45","No",NA
"gs_46","No",NA
"gs_47","No",NA
"gs_48","No",NA
"gs_49","No",NA
"gs_50","No",NA
"gs_51","No",NA
"gs_52","No",NA
"gs_53","No",NA
"gs_54","No",NA
"gs_55","No",NA
"gs_56","No",NA
"gs_57","No",NA
"gs_58","No",NA
"gs_59","No",NA
"gs_60","No",NA
"gs_61","No",NA
"gs_62","No",NA
"gs_63","No",NA
"gs_64","No",NA
"gs_65","No",NA
"gs_66","No",NA
"gs_67","No",NA
"gs_68","No",NA
"gs_69","No",NA
"gs_70","No",NA
"gs_71","No",NA
"gs_72","No",NA
"gs_73","No",NA
"gs_74","No",NA
"gs_75","No",NA
"gs_76","No",NA
"gs_77","No",NA
"gs_78","No",NA
"gs_79","No",NA
"gs_80","No",NA
"gs_81","No",NA
"gs_82","No",NA
"gs_83","No",NA
"gs_84","No",NA
"gs_85","No",NA
"gs_86","No",NA
"gs_87","No",NA
"gs_88","No",NA
"gs_89","No",NA
"gs_90","No",NA
"gs_91","No",NA
"gs_92","No",NA
"gs_93","No",NA
"gs_94","No",NA
"gs_95","No",NA
"gs_96","No",NA
"gs_97","No",NA
"gs_98","No",NA
"gs_99","No",NA
"gs_100","No",NA
"gs_101","No",NA
"gs_102","No",NA
"gs_103","No",NA
"gs_104","No",NA
"gs_105","No",NA
"gs_106","No",NA
"gs_107","No",NA
"gs_108","No",NA
"gs_109","No",NA
"gs_110","No",NA
"gs_111","No",NA
"gs_112","No",NA
"gs_113","No",NA
"gs_114","No",NA
"gs_115","No",NA
"gs_116","No",NA
"gs_117","No",NA
"gs_118","No",NA
"gs_119","No",NA
"gs_120","No",NA
"gs_121","No",NA
"gs_122","No",NA
"gs_123","No",NA
"gs_124","No",NA
"gs_125","No",NA
"gs_126","No",NA
"gs_127","No",NA
"gs_128","No",NA
"gs_129","No",NA
"gs_130","No",NA
"gs_131","No",NA
"gs_132","No",NA
"gs_133","No",NA
"gs_134","No",NA
"gs_135","No",NA
"gs_136","No",NA
"gs_137","No",NA
"gs_138","No",NA
"gs_139","No",NA
"gs_140","No",NA
"gs_141","No",NA
"gs_142","No",NA
"gs_143","No",NA
"gs_144","No",NA
"gs_145","No",NA
"gs_146","No",NA
"gs_147","No",NA
"gs_148","No",NA
"gs_149","No",NA
"gs_150","No",NA
"gs_151","No",NA
"gs_152","No",NA
"gs_153","No",NA
"gs_154","No",NA
